"simu_base","psi_true","tmle_coverage_sl","cvtmle_coverage_sl","cvaiptw_coverage_sl","tmle_coverage_underhal","tmle_bias_sl","cvtmle_bias_sl","cvaiptw_bias_sl","tmle_bias_underhal","tmle_var_sl","cvtmle_var_sl","cvaiptw_var_sl","tmle_var_underhal","tmle_mse_sl","cvtmle_mse_sl","cvaiptw_mse_sl","tmle_mse_underhal","tmle_meanwidthCI_sl","cvtmle_meanwidthCI_sl","cvaiptw_meanwidthCI_sl","tmle_meanwidthCI_underhal"
"misQ_1000",0.1153,0.994,0.998,0.994,0.996,0.00333152954955707,-0.00668278084605586,-0.000144652801266479,0.00632326140419108,0.000350277613402,0.000371563768024602,0.000365109773419218,0.000343029138945881,0.000361376702541572,0.000416223327861013,0.000365130697852132,0.000383012773731614,0.107469749663606,0.114249882671711,0.0968924051639225,0.107273428459061
"misQ_500",0.1153,0.95,0.958,0.936,0.984,0.0111847474717599,-0.00853650970667362,0.00329933110372714,0.0108942554847461,0.00138075273948284,0.00135792890688432,0.00124817559547836,0.000771966674781215,0.00150585131548988,0.00143080090485645,0.00125906118121039,0.000890651477348135,0.150544558255483,0.169011467378856,0.142879779646743,0.151362178452813
"under_1000",0.1153,0.936,0.958,0.95,0.934,-0.000209169541667581,-4.45211716492977e-05,1.05705429782471e-05,0.00021326128258474,0.00035424424077917,0.00035277529221851,0.000372488506957301,0.000352954453542596,0.000354287992676332,0.000352777274353235,0.00037248861869368,0.000352999933917245,0.070190344281466,0.073478185698667,0.0737180305874734,0.0692322878712104
"under_500",0.1153,0.94,0.958,0.952,0.93,0.000760553189521479,0.00104323116960935,0.000940738968950708,0.000984922662802007,0.00070220248781244,0.000690780869096943,0.000797881695157157,0.000718493148736193,0.000702780928966532,0.000691869200370188,0.000798766684964859,0.000719463221387895,0.0980039732604374,0.107623578278617,0.108791292738506,0.0957198152369979
