"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_hal","tmle_se_hal","tmle_lower_hal","tmle_upper_hal","cvtmle_hal","cvtmle_se_hal","cvtmle_lower_hal","cvtmle_upper_hal","cvaiptw_hal","cvaiptw_se_hal","cvaiptw_lower_hal","cvaiptw_upper_hal"
1,0.1153,0.164452979852888,0.0258729405186159,0.113742948262254,0.215163011443522,0.152811104654588,0.028848091005102,0.0962698852618546,0.209352324047322,0.153185479918875,0.643192210675599,0.0968071968966502,0.2095637629411,0.158307748363693,0.0224008464690155,0.114402896061212,0.202212600666175,0.163551358124144,0.0255336101134867,0.113506401906422,0.213596314341866,0.163559163702437,0.571590275782166,0.113457066994908,0.213661260409967
2,0.1153,0.100517071044405,0.0261012213045229,0.0493596173350308,0.15167452475378,0.0982463932483793,0.0286975412709207,0.042000245912523,0.154492540584236,0.0974756708195802,0.647043923129602,0.0407597703149794,0.154191571324181,0.121881690457273,0.0220026511718809,0.0787572865959888,0.165006094318558,0.117716080293804,0.0261868830405696,0.0663907326669247,0.169041427920683,0.117715649635049,0.585562658214143,0.0663888196080385,0.169042479662059
3,0.1153,0.149865310766472,0.0284004403078902,0.0942014706179282,0.205529150915017,0.141819004779297,0.0316943422960502,0.079699235365354,0.20393877419324,0.144040449521545,0.708756670752224,0.0819151881854557,0.206165710857635,0.141904607914043,0.0233331054555436,0.0961725615737027,0.187636654254384,0.14743284560294,0.0265305268172959,0.0954339685501656,0.199431722655714,0.147196314999092,0.59417539117878,0.0951145456419473,0.199278084356236
4,0.1153,0.10679066400982,0.0236680524637361,0.0604021335966927,0.153179194422947,0.110835454430124,0.0265339310584273,0.0588299051873377,0.16284100367291,0.111731070519338,0.591976871351955,0.0598420099216735,0.163620131117002,0.115119298714249,0.0213276522548885,0.0733178684198735,0.156920729008625,0.117207294826655,0.0234769998165948,0.0711932207210754,0.163221368932234,0.117189114591134,0.525002312107406,0.0711706329490382,0.163207596233229
5,0.1153,0.0918031195020642,0.0284685641730689,0.036005759031282,0.147600479972846,0.0928269970778787,0.030454387070122,0.0331374952491972,0.15251649890656,0.0929616079790151,0.680697559525784,0.0332958361824749,0.152627379775555,0.0977537657616287,0.0239011321296076,0.0509084075978646,0.144599123925393,0.0916868941111461,0.028031133922377,0.0367468811774683,0.146626907044824,0.091160789250319,0.631719437531905,0.0357881391331716,0.146533439367466
6,0.1153,0.141058553014212,0.0215199522461416,0.0988802216627528,0.183236884365672,0.141882170988687,0.0230699953029514,0.0966658110713935,0.18709853090598,0.14243715350964,0.515173350619713,0.0972802183281049,0.187594088691175,0.153067472312219,0.0202598184501653,0.113358957816575,0.192775986807863,0.151762907761519,0.0229105092034886,0.106859134855208,0.19666668066783,0.151757072917305,0.512328367783857,0.106849511476389,0.19666463435822
7,0.1153,0.0763055723593403,0.0239944748442361,0.0292772658366853,0.123333878881995,0.0823202439028799,0.0268203037040046,0.0297534145886046,0.134887073217155,0.0740982879239481,0.568915698870215,0.0242306282192365,0.12396594762866,0.0858715213921446,0.0225041103999194,0.0417642755041892,0.1299787672801,0.0892725360588919,0.0254427426027444,0.03940567688959,0.139139395228194,0.0892089141908636,0.56947792227469,0.0392919734319149,0.139125854949812
8,0.1153,0.117894617102611,0.023918837531314,0.0710145569891709,0.164774677216051,0.124993258290991,0.0310369501561171,0.0641619537950366,0.185824562786945,0.126570116681215,0.69643305235374,0.0655250681250618,0.187615165237367,0.134429556870209,0.0222424341039705,0.0908351870979218,0.178023926642497,0.132659381510722,0.0263151777918328,0.0810825807919609,0.184236182229482,0.133436261336072,0.59200999780407,0.0815442970768554,0.185328225595288
9,0.1153,0.130879885660533,0.0242466339217327,0.0833573564276098,0.178402414893456,0.13941854739291,0.0262545284064711,0.0879606172851426,0.190876477500677,0.141049573319549,0.590278705438234,0.0893093635271551,0.192789783111944,0.137650115176135,0.0213310284647545,0.0958420676320174,0.179458162720253,0.143463684003086,0.0256263124028392,0.0932370346369493,0.193690333369223,0.143451385355938,0.572682872798538,0.0932535182973439,0.193649252414532
10,0.1153,0.0704114044541159,0.0205869484663262,0.0300617269085345,0.110761081999697,0.0688581402260475,0.0245969355321937,0.0206490324528943,0.117067247999201,0.0683751430248333,0.55320620923566,0.0198844807993377,0.116865805250329,0.0673025500774884,0.0223605429187904,0.023476691281897,0.11112840887308,0.0681553971148563,0.0257036766868605,0.017777116538348,0.118533677691365,0.0672821076142067,0.584171071108068,0.0160772555751358,0.118486959653278
