"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_hal","tmle_se_hal","tmle_lower_hal","tmle_upper_hal","cvtmle_hal","cvtmle_se_hal","cvtmle_lower_hal","cvtmle_upper_hal","cvaiptw_hal","cvaiptw_se_hal","cvaiptw_lower_hal","cvaiptw_upper_hal"
1,-0.0524783924479328,-0.0225061448554517,0.0626327971790712,-0.145264171577433,0.10025188186653,-0.0135580192634458,0.0637157719463886,-0.138438637525535,0.111322598998643,-0.0135831091396003,2.01487472225388,-0.13846633825514,0.111300119975939,-0.0175685404814742,0.0619845152732628,-0.139055958016242,0.103918877053294,-0.0145250421137235,0.0639982449238304,-0.139959297238204,0.110909213010757,-0.0145440392718416,2.02378939956267,-0.139979805811445,0.110891727267762
2,-0.0524783924479328,0.125711785624919,0.0615602182457338,0.00505597498285534,0.246367596266983,0.114060236656364,0.0627925344278218,-0.00901086932015754,0.237131342632887,0.1140859219474,1.98566254386533,-0.00898671759332938,0.23715856148813,0.11876036636984,0.0614699672016901,-0.00171855547633061,0.239239288216011,0.114983316116988,0.0627129815391946,-0.00793186906295854,0.237898501296935,0.115021139664899,1.98314534084263,-0.00789548201608892,0.237937761345886
3,-0.0524783924479328,-0.0301337741505911,0.0616297004615832,-0.150925767433286,0.0906582191321034,-0.0301227447869866,0.0619260573461418,-0.151495586889987,0.0912500973160133,-0.030128282379127,1.95827338691323,-0.151503324384311,0.0912467596260573,-0.0332991575998278,0.061614430984252,-0.154061223256891,0.0874629080572348,-0.0362876127537368,0.0628965920501328,-0.159562667922305,0.0869874424148318,-0.0367016800161853,1.98921231495773,-0.159994336648669,0.0865909766162987
4,-0.0524783924479328,-0.109574514521989,0.0614802315518518,-0.230073554124802,0.010924525080823,-0.108603535857796,0.0618091159002446,-0.229747176938537,0.0125401052229453,-0.108604789845467,1.95459702991004,-0.22975196888286,0.0125423891919266,-0.104776237536212,0.0604847047944635,-0.223324080548897,0.0137716054764737,-0.104159153360889,0.0619861270327579,-0.22564972988622,0.0173314231644407,-0.104230175390894,1.96015944701051,-0.225722116612021,0.0172617658302335
5,-0.0524783924479328,-0.205725336192063,0.0635438757095536,-0.330269044020878,-0.0811816283632487,-0.205655239101391,0.0643508583133996,-0.331780603769894,-0.0795298744328876,-0.205660714864616,2.03495269898871,-0.331788389871038,-0.0795330398581934,-0.215162724226337,0.0632870567116896,-0.339203076068792,-0.0911223723838813,-0.21181812100041,0.0639850950398403,-0.337226602825869,-0.0864096391749503,-0.212016222382644,2.02336528553738,-0.337425702062619,-0.0866067427026682
6,-0.0524783924479328,0.0136137243391288,0.063427741022313,-0.110702363685338,0.137929812363596,0.0137339924454021,0.0639917785232791,-0.111687588766889,0.139155573657693,0.0137362892416524,2.02359793919558,-0.111687610461454,0.139160188944759,0.00329463585747916,0.0623317050587379,-0.11887326115262,0.125462532867578,0.00878824717669255,0.0637390836918365,-0.116138061266891,0.133714555620276,0.00880830547339073,2.01561513050899,-0.116120814621246,0.133737425568027
7,-0.0524783924479328,-0.00672869881246129,0.0639987700993667,-0.132163983262079,0.118706585637156,-0.00632585122634813,0.064174256635169,-0.13210508296591,0.119453380513214,-0.00632794564389894,2.02936758014629,-0.132109451398044,0.119453560110246,-0.00643540442071084,0.063052031866834,-0.130015116031777,0.117144307190356,-0.00695915978416379,0.063771923731223,-0.131949833522196,0.118031513953868,-0.0069446624143662,2.0166438804453,-0.131937545090656,0.118048220261924
8,-0.0524783924479328,-0.0854566855468195,0.0636514248299799,-0.210211185778239,0.0392978146845996,-0.086266940037848,0.0649200412456073,-0.213507882754093,0.0409740026783971,-0.0863021727138358,2.05295117784172,-0.213545404997099,0.0409410595694271,-0.0836509975920565,0.0640955139139412,-0.209275896433967,0.0419739012498541,-0.0906684626260372,0.0649273310387159,-0.21792369307423,0.0365867678221554,-0.0907261738705801,2.05322947590645,-0.217986655246601,0.0365343075054405
9,-0.0524783924479328,-0.0558756299383527,0.0669351223818371,-0.187066059107534,0.0753147992308289,-0.0547853783099012,0.0683116826604919,-0.188673816047795,0.0791030594279922,-0.0548810088992903,2.1603557548501,-0.188781245834232,0.0790192280356518,-0.055045310380501,0.0669116428380975,-0.18618972048958,0.0760990997285775,-0.0585460433925574,0.0683621391606515,-0.19253337405355,0.0754412872684348,-0.058787240917325,2.16184829896191,-0.192779986694738,0.075205504860088
10,-0.0524783924479328,-0.102589441628041,0.0633517925393045,-0.226756673361131,0.0215777901050493,-0.105581974189975,0.0635758538773209,-0.230188358075905,0.019024409695955,-0.105587285138259,2.01048083177281,-0.230198178100292,0.0190236078237745,-0.0984349469970356,0.0627345380803561,-0.22139238222129,0.0245224882272189,-0.0959034638375156,0.0636973759252621,-0.220748026560738,0.0289410988857068,-0.0959477719574202,2.01429139692683,-0.220794846194613,0.0288993022797725
