"i","psi_true","tmle_sl","epsilon_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","epsilon_underhal","tmle_lower_underhal","tmle_upper_underhal"
1,0.1153,0.106149665180411,0.0447212568191047,0.024461003359427,0.0582069795702209,0.154092350790601,0.103558629266664,0.0249399267607578,0.0546772710385117,0.152439987494816,0.104571518567659,0.709624942538019,0.0605885089510887,0.14855452818423,0.108598673481213,0.045730278322214,0.0605239949082709,0.156673352054155
2,0.1153,0.148555795993688,0.0610654936096369,0.0297685252579822,0.090210558615172,0.206901033372204,0.141484574375841,0.0299649726573215,0.0827543071697634,0.200214841581919,0.14102621940575,0.760265248707326,0.0939044910946747,0.188147947716824,0.149037834852518,0.0617044235505418,0.090738530291283,0.207337139413753
3,0.1153,0.137777830487909,0.0546620953815625,0.0355513405201303,0.0680984834663345,0.207457177509484,0.0974367292618909,0.0429780533481798,0.0132012925738175,0.181672165949964,0.124165115318288,1.02405434398172,0.0606935694927618,0.187636661143815,0.163344843870139,0.0668896998588207,0.106229457416201,0.220460230324076
4,0.1153,0.110091576715616,0.0480098061473261,0.0262522979753605,0.0586380181724953,0.161545135258736,0.102620808026363,0.0269365468266401,0.0498261463782713,0.155415469674454,0.105134453820291,0.747601299063377,0.0587976452401674,0.151471262400414,0.112205974109623,0.0488602540592319,0.0599983035222443,0.164413644697001
5,0.1153,0.132452644537582,0.0532532953521376,0.0335049180792778,0.0667842117972323,0.198121077277931,0.128969637910709,0.0312899840041618,0.0676423961857176,0.1902968796357,0.134390819666675,0.821079174808284,0.0834998051648512,0.1852818341685,0.133632747965957,0.0547759345937158,0.0782572874967334,0.18900820843518
6,0.1153,0.116228967378007,0.0412138881363013,0.0303933617479474,0.0566590729829326,0.175798861773081,0.105935289177617,0.0317498526188989,0.0437067215301205,0.168163856825114,0.112704338951068,0.87073412690717,0.058735678632759,0.166672999269378,0.125963780579119,0.044876403660885,0.0699071048222646,0.182020456335974
7,0.1153,0.125609359031795,0.0533395410106332,0.0271142968157615,0.0724663138067732,0.178752404256816,0.114321442020341,0.028072761422983,0.0592998406847091,0.169343043355973,0.116100468550529,0.761832011191373,0.0688816312946136,0.163319305806445,0.120569716170775,0.0523499915618837,0.0650794819067928,0.176059950434757
8,0.1153,0.120924149049359,0.0428536656271827,0.0269423043121846,0.068118202936959,0.173730095161759,0.115283746009911,0.0279069337516701,0.0605871609376919,0.169980331082129,0.117045689490968,0.77907983483101,0.0687578210503621,0.165333557931574,0.124143930679609,0.0428809131232382,0.0708693446329758,0.177418516726243
9,0.1153,0.119355314439526,0.0479318341162923,0.0280238504491645,0.0644295768510269,0.174281052028025,0.114745631254285,0.0282224809925935,0.0594305849544351,0.170060677554134,0.11622436887378,0.793663522997219,0.0670325940758733,0.165416143671687,0.119633160152462,0.0481969317477628,0.0646895067962863,0.174576813508638
10,0.1153,0.13032661921279,0.0546757790417249,0.0303942220358197,0.0707550386844697,0.18989819974111,0.11993173266467,0.0325493241554077,0.0561362295989515,0.183727235730389,0.125816814593041,0.83275672508322,0.0742020180265624,0.17743161115952,0.13083894633854,0.0555199297388961,0.0733643340975367,0.188313558579544
