"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_hal","tmle_se_hal","tmle_lower_hal","tmle_upper_hal","cvtmle_hal","cvtmle_se_hal","cvtmle_lower_hal","cvtmle_upper_hal","cvaiptw_hal","cvaiptw_se_hal","cvaiptw_lower_hal","cvaiptw_upper_hal"
1,-0.011868709434769,-0.0251926805132826,0.0599078456543715,-0.142609900387235,0.0922245393606698,-0.0333594902602563,0.0621791505438348,-0.155228385915467,0.0885094053949539,-0.0334174086537546,1.96642439118601,-0.155297655137846,0.0884628378303368,-0.00891714712348579,0.0607598762548746,-0.12800431628815,0.110170022041179,-0.0128337595012923,0.0617332229232312,-0.133828653080408,0.108161134077823,-0.0128320454736925,1.95217507302005,-0.13382911006781,0.108165019120425
2,-0.011868709434769,0.0300783728938817,0.0586822387000154,-0.084936701490331,0.145093447278094,0.024472322516644,0.0671097369891075,-0.107060344993962,0.15600499002725,0.0201441716641871,2.14122315970445,-0.112570214737836,0.15285855806621,0.0379952416323761,0.0614389394258954,-0.0824228668907167,0.158413350155469,0.0273493855205647,0.0664388982179123,-0.102868462159066,0.157567233200195,0.0276411651599879,2.10115076440591,-0.102589508449372,0.157871838769348
3,-0.011868709434769,-0.023271493073109,0.0600468212381258,-0.14096110008595,0.0944181139397323,-0.0451822017020364,0.0662869338921491,-0.175102204776236,0.0847378013721632,-0.0452622735755893,2.09603586516543,-0.175175922445547,0.084651375294368,-0.0248506820718269,0.0647855196405105,-0.15182796728694,0.102126603143286,-0.022662734555501,0.0658159600428404,-0.151659645847396,0.106334176736394,-0.0225929711673364,2.08128584352,-0.151592404224141,0.106406461889469
4,-0.011868709434769,-0.026657899748656,0.0618397786281133,-0.147861638671688,0.0945458391743759,-0.0266979827491696,0.0701732682773524,-0.164235061250247,0.110839095751908,-0.0271046523296314,2.219005840587,-0.164640059240071,0.110430754580809,-0.0222884757759395,0.0635415264835207,-0.146827579206338,0.102250627654459,-0.0179356700477773,0.0682236333967993,-0.151651534399968,0.115780194304413,-0.0170866942217176,2.1577459593509,-0.150825174355767,0.116651785912332
5,-0.011868709434769,-0.0333802601858165,0.065902207892501,-0.16254621415679,0.0957856937851567,-0.0344940740886671,0.0663834619359863,-0.164603268652286,0.0956151204749516,-0.034508514819248,2.09923006989643,-0.164620142549557,0.0956031129110609,-0.0153266704542933,0.0618703515912252,-0.136590331283925,0.105936990375338,-0.0240016621566205,0.0658961596326395,-0.153155761756096,0.105152437442855,-0.0238537046335309,2.08380065734034,-0.153009007465781,0.105301598198719
6,-0.011868709434769,-0.0665673132928767,0.056413540299155,-0.177135820519619,0.0440011939338659,-0.0789214388760215,0.0632369029507412,-0.202863491153329,0.0450206134012858,-0.0808521279334168,2.00318330448569,-0.205010715468166,0.0433064596013319,-0.0534648141307393,0.0588449335567382,-0.168798764574599,0.06186913631312,-0.0506765221021269,0.0632106984636154,-0.174567214528434,0.0732141703241805,-0.049262870915052,1.99859592803328,-0.173137129911546,0.0746113880814417
7,-0.011868709434769,0.123284271959349,0.0644558493892694,-0.00304687143655716,0.249615415355255,0.116002829040942,0.0653406133803538,-0.0120624199123071,0.244068077994191,0.116191909460601,2.06622324660379,-0.0118739341670516,0.244257753088254,0.143692964208423,0.0647531702347318,0.0167790826635581,0.270606845753289,0.148687467355047,0.0661588493793235,0.0190185053129625,0.278356429397131,0.148733761120581,2.09213311565959,0.0190620071711045,0.278405515070057
8,-0.011868709434769,0.0580519099663041,0.0671553207246516,-0.0735701000242492,0.189673919956857,0.0557433665803395,0.0675103574781696,-0.0765745026602972,0.188061235820976,0.0557369034218625,2.13486685889929,-0.076583515374626,0.188057322218351,0.0508616920406253,0.0649250422286435,-0.0763890524222581,0.178112436503509,0.0486469066248732,0.0667322148786323,-0.082145831145834,0.17943964439558,0.0486900394843083,2.11027329007559,-0.0821060541239904,0.179486133092607
9,-0.011868709434769,-0.0266968458329802,0.061928803512728,-0.148075070323585,0.0946813786576242,-0.0360864570179163,0.0673897435111336,-0.16816792722713,0.0959950131912973,-0.0366675015450556,2.13166634865443,-0.168789550661395,0.0954545475712837,-0.0308679433650901,0.064191766797131,-0.156681494391461,0.0949456076612807,-0.031071282190384,0.0664233604776867,-0.161258676458771,0.0991161120780031,-0.030852774829884,2.10052770492498,-0.161044830812525,0.0993392811527567
10,-0.011868709434769,-0.0332837631830473,0.059807786682999,-0.15050487107678,0.0839373447106851,-0.0153596099136148,0.0668976677621815,-0.146476629377217,0.115757409549987,-0.0177184381133723,2.11584593740908,-0.148859927981817,0.113423051755072,-0.0333282588557802,0.0623250177126201,-0.155483048908336,0.088826531196776,-0.0398983173463824,0.0665113267228116,-0.17025812228707,0.0904614875943047,-0.0388120469725722,2.10253693070129,-0.169128636059032,0.0915045421138872
11,-0.011868709434769,0.0939132332475862,0.0627255520930062,-0.029026589765097,0.216853056260269,0.0859606130993666,0.0649482714316144,-0.0413356597647294,0.213256885963463,0.0860425705671968,2.05359385135831,-0.0412404950333101,0.213325636167704,0.0881190474678655,0.0630985905178671,-0.0355519174223946,0.211790012358126,0.0889521395832489,0.0650418668176256,-0.038527576866548,0.216431856033046,0.0893251474688823,2.05652366014397,-0.0381395095615053,0.21678980449927
12,-0.011868709434769,0.0595382512478355,0.0576801850823197,-0.0535128341351156,0.172589336630787,0.067878874000472,0.0640671767880305,-0.0576904850952282,0.193448233096172,0.0679280337748354,2.02602812261969,-0.0576464902574138,0.193502557807084,0.0422128394116088,0.0626684257380811,-0.080615018002853,0.165040696826071,0.042183230298857,0.0651659059603454,-0.085539598403344,0.169906059001058,0.0426239146927367,2.0606026546045,-0.0850935610335971,0.170341390419071
13,-0.011868709434769,-0.0558830725944697,0.0642636857787471,-0.181837582234613,0.0700714370456735,-0.0515411236404014,0.0660726219173633,-0.181041082962565,0.0779588356817626,-0.051365184141653,2.08927709456264,-0.180859920069577,0.0781295517862707,-0.0393392831620063,0.0625662205668938,-0.161966822121907,0.0832882557978947,-0.0384517020059039,0.0663400638249748,-0.168475837834943,0.0915724338231352,-0.0381946391275777,2.09784771419388,-0.168220587563777,0.091831309308622
14,-0.011868709434769,-0.0650929239812997,0.0654727965593704,-0.193417247204784,0.0632313992421842,-0.0593569993511231,0.0676977614233097,-0.192042173574795,0.0733281748725489,-0.0592612947265859,2.14069328534924,-0.19194283917582,0.0734202497226484,-0.0814325002392335,0.0657242425460345,-0.210249648540636,0.0473846480621693,-0.0829988549320828,0.0679009825689134,-0.216082335282035,0.0500846254178694,-0.0828645370032588,2.14720632691806,-0.215949763951208,0.0502206899446906
15,-0.011868709434769,-0.0711642987462082,0.0635447969216716,-0.195709812117596,0.0533812146251798,-0.0775965312776932,0.0686933874371663,-0.212233096630595,0.057040034075209,-0.0786531515762646,2.17378404620235,-0.213385682632053,0.0560793794795236,-0.0608943291001932,0.06515431716898,-0.188594444188694,0.0668057859883073,-0.0740042949470927,0.0675640278151179,-0.206427356115186,0.0584187662210009,-0.0736646190949934,2.13628537215883,-0.206072958254192,0.0587437200642048
16,-0.011868709434769,-0.154335250381668,0.0639089261019028,-0.279594443832029,-0.0290760569313069,-0.153565384468716,0.0654378656675421,-0.281821244402269,-0.0253095245351632,-0.153639292879095,2.06938744047311,-0.281901255274621,-0.0253773304835688,-0.141927061094951,0.064240611663765,-0.267836346300754,-0.0160177758891477,-0.136560741517301,0.0661169730402259,-0.266147627442949,-0.00697385559165223,-0.136553244077624,2.09080577692813,-0.266142728720188,-0.00696375943506053
17,-0.011868709434769,-0.119905241376085,0.063550634770051,-0.244462196720044,0.00465171396787402,-0.11867969940334,0.0647329689800754,-0.245553987216636,0.0081945884099564,-0.11859179047855,2.04699531136248,-0.245465874332933,0.00828229337583322,-0.0911965646132391,0.0640154794894087,-0.216664598865543,0.0342714696390644,-0.0983669476045145,0.0656758643894005,-0.227089276461276,0.0303553812522472,-0.097983278570553,2.07672458492274,-0.226700001890536,0.03073344474943
18,-0.011868709434769,0.00947727001562849,0.0627540146688072,-0.113518338620532,0.132472878651789,0.00943074832676884,0.0633284245862752,-0.114690683059991,0.133552179713529,0.00943366910009302,2.00263239309704,-0.114690772593025,0.133558110793211,0.00861908133096347,0.0608387051339776,-0.110622589597685,0.127860752259612,0.000792734611042062,0.0635040626577619,-0.123672941070146,0.12525841029223,0.000778095996559758,2.00817896596718,-0.123690125844722,0.125246317837842
19,-0.011868709434769,-0.0650902964929534,0.0609718623291184,-0.18459295072836,0.0544123577424531,-0.0472839704796841,0.0621248660604982,-0.169046470502635,0.0744785295432671,-0.0473666066654637,1.9645759358681,-0.169132284701985,0.0743990713710578,-0.0460686998958894,0.06059902313674,-0.164840602742209,0.0727032029504304,-0.0422375158005236,0.0628232351586325,-0.165368794103734,0.0808937625026864,-0.0421543872030511,1.986690864159,-0.165290762695907,0.0809819882898052
20,-0.011868709434769,-0.00569950805527814,0.0606101775552158,-0.124493273160079,0.113094257049523,0.0347546537064871,0.0686413450805966,-0.0997799105018678,0.169289217914842,0.0353732257626894,2.17083830466212,-0.0991767263408588,0.169923177866238,-0.00467523809334349,0.0637869804299876,-0.12969542241868,0.120344946231993,-0.00218363064584712,0.067376579700767,-0.134239300260843,0.129872038969149,-0.00170672445327491,2.13059971155164,-0.133762662717053,0.130349213810504
21,-0.011868709434769,-0.0696571644048373,0.0658207302367165,-0.198663425104928,0.0593490962952535,-0.0667718868223018,0.0663558089017665,-0.196826882434786,0.0632831087901829,-0.0667387558767423,2.09837105121329,-0.19679714107746,0.0633196293239756,-0.079443114003381,0.0639856316317273,-0.204852647529613,0.0459664195228512,-0.0782405987206027,0.0658336213377586,-0.207272125514457,0.0507909280732518,-0.0784470599206866,2.08203195163227,-0.207492737237395,0.0505986173960218
22,-0.011868709434769,-0.0695108371535563,0.0630272930569936,-0.193042061588315,0.0540203872812025,-0.0743806801804818,0.0644160627238773,-0.200633843145154,0.0518724827841907,-0.0743641381760619,2.0368563383914,-0.200609801975065,0.0518815256229412,-0.0432126957736051,0.0632421983687165,-0.167165126879427,0.0807397353322169,-0.0435356044138608,0.0650174473526284,-0.170967459591742,0.08389625076402,-0.0434616552812974,2.05611221294646,-0.170900810550176,0.0839774999875816
23,-0.011868709434769,-0.0284163088252034,0.0674975992724342,-0.160709172442091,0.103876554791685,-0.0661118076637534,0.0895990543668293,-0.241722727271585,0.109499111944078,-0.0715560301637579,2.9002764673452,-0.251317027991315,0.108204967663799,-0.0221866278672406,0.0646330027693184,-0.148864985507782,0.104491729773301,-0.0238659202945123,0.065770952931664,-0.152774619269453,0.105042778680428,-0.0238060732818667,2.07986703885967,-0.152717567914754,0.10510542135102
24,-0.011868709434769,0.0689017441445404,0.0652278373144467,-0.0589424677812131,0.196745956070294,0.0741095132725529,0.0661217168743442,-0.055486670397116,0.203705696942222,0.0741247736302786,2.09098161008943,-0.055475609264532,0.203725156525089,0.0649122742190433,0.0643834010337884,-0.0612768730093808,0.191101421447467,0.0597234479352024,0.0656318110022595,-0.0689125378693658,0.188359433739771,0.0599146931813308,2.07537890366314,-0.0687186239500673,0.188548010312729
25,-0.011868709434769,-0.01142668280244,0.0666954846863451,-0.142147430719119,0.119294065114239,0.00608116022820566,0.0679463515090674,-0.127091241610465,0.139253562066876,0.00608601308024614,2.14865924831286,-0.127089266868731,0.139261293029223,-0.0115656197903293,0.0667726743567539,-0.142437656680988,0.11930641710033,-0.0122824965871972,0.0680587614221867,-0.145675217807087,0.121110224632693,-0.0123050431567951,2.15221574887435,-0.145700757294342,0.121090670980752
26,-0.011868709434769,-0.00284243629509335,0.0584906590170659,-0.117482021400555,0.111797148810369,-0.0260944134996212,0.0661378623712873,-0.155722241761811,0.103533414762569,-0.0270475193731777,2.09170518536416,-0.156692749928152,0.102597711181797,-0.0066447535522771,0.0634947528936813,-0.131092182431163,0.117802675326609,-0.00852307163911106,0.0657873799914477,-0.137463967059599,0.120417823781377,-0.00875818956412644,2.08039769097466,-0.137702574355854,0.120186195227601
27,-0.011868709434769,-0.011006603637009,0.0652980524312023,-0.138988434662774,0.116975227388756,-0.00941504129322189,0.0656083200489164,-0.138004985675275,0.119174903088831,-0.00941347237123091,2.07471756892197,-0.138005799550702,0.119178854808241,-0.00792890452063912,0.0642122955123083,-0.133782691089406,0.117924882048128,-0.0118242385411272,0.0654564624101791,-0.140116547420478,0.116468070338224,-0.011833281104597,2.06992291789277,-0.140128432734445,0.116461870525251
28,-0.011868709434769,0.0281044768938791,0.0649389283859237,-0.0991734839371572,0.155382437724915,0.0630197154799773,0.0671415437721105,-0.0685752921797788,0.194614723139733,0.0625415317663074,2.12302567768877,-0.0690449630150655,0.19412802654768,0.0427484669000265,0.0642704254435524,-0.0832192522404029,0.168716186040456,0.0209658863673887,0.0684778259631533,-0.113248186259994,0.155179958994771,0.0213582403923221,2.16498232184684,-0.112828754135978,0.155545234920623
29,-0.011868709434769,-0.0826338917249944,0.0626140910217638,-0.205355255052364,0.0400874716023753,-0.0850256609405543,0.0632767798994516,-0.209045870601147,0.0389945487200388,-0.0851772521553766,2.00105249563391,-0.209203770789215,0.0388492664784622,-0.0791425824648781,0.0615422187667031,-0.199763114776301,0.041477949846545,-0.0854994539664705,0.0627701261741068,-0.208526640572755,0.0375277326398139,-0.0852842753993198,1.98495109310192,-0.208312818764883,0.0377442679662433
30,-0.011868709434769,-0.0109922021626668,0.0677802717169446,-0.143839093590217,0.121854689264883,-0.0102066972481908,0.0682231294686072,-0.143921573919274,0.123508179422892,-0.010205794037859,2.15740435933877,-0.143923101583802,0.123511513508084,-0.0115649252607182,0.06626660778009,-0.141445089887336,0.1183152393659,-0.00920393009088142,0.0678409674669353,-0.142169783002428,0.123761922820665,-0.00911500749312399,2.14529533173928,-0.142081789732767,0.12385177474652
31,-0.011868709434769,0.0713556165063118,0.0604103704628851,-0.0470465338936653,0.189757766906289,0.0620680638696418,0.0686279787123784,-0.0724403027384014,0.196576430477685,0.0580846120072233,2.17036696390784,-0.0764361260937083,0.192605350108155,0.073693173911975,0.0630909323298776,-0.0499627812056388,0.197349129029589,0.0729484221578032,0.0662779287059639,-0.0569539310757994,0.202850775391406,0.0734661137992032,2.09561760040237,-0.0564216107521551,0.203353838350562
32,-0.011868709434769,0.137407067183114,0.0591630168782307,0.0214496848850468,0.253364449481182,0.115206271010146,0.0656918998478494,-0.0135474867676506,0.243960028787943,0.113371967834103,2.07758076179011,-0.0153978218779047,0.24214175754611,0.129688016599805,0.0607604729026189,0.0105996780270498,0.248776355172559,0.127795849862075,0.0641244336859018,0.00211426930868053,0.253477430415469,0.1290124230239,2.02860610154344,0.00327811420253551,0.254746731845265
33,-0.011868709434769,0.0270180003737688,0.0691184862880756,-0.108451743416785,0.162487744164322,0.0306552431989688,0.0699651705200316,-0.106473971192497,0.167784457590434,0.0306596966964839,2.21250090472797,-0.106472530112338,0.167791923505306,0.0312640769685011,0.0673703606804737,-0.100779403590701,0.163307557527703,0.0415205132852648,0.0710349109589273,-0.0977053538392422,0.180746380409772,0.0417230607934241,2.24630873779513,-0.097504597218239,0.180950718805087
34,-0.011868709434769,-0.0834095747054723,0.0643071311246883,-0.209449235658956,0.0426300862480116,-0.0834885293795935,0.0646882011416233,-0.210275073841858,0.0432980150826709,-0.083441168266704,2.04560613791869,-0.210229150258998,0.0433468137255903,-0.103023172978556,0.0621762383278064,-0.224886360795235,0.0188400148381235,-0.106672706095596,0.0648457355440026,-0.23376801231285,0.0204226001216581,-0.106694851169542,2.05038213306146,-0.23377885240764,0.0203891500685553
35,-0.011868709434769,0.083792812041397,0.0620006154856252,-0.0377261613297448,0.205311785412539,0.070265680024236,0.0707368013608439,-0.0683759030245819,0.208907263073054,0.0705347581182225,2.23676646201786,-0.0681014635132949,0.20917097974974,0.0842316667587384,0.0653728948024826,-0.0438968526192532,0.21236018613673,0.077927987493703,0.0707819925142021,-0.0608021685881168,0.216658143575523,0.079321752272311,2.23793410266292,-0.0593868404761752,0.218030345020797
36,-0.011868709434769,-0.0496050715273993,0.0641198000490306,-0.175277570319409,0.0760674272646102,-0.0919876206300806,0.090809328559872,-0.269970634067694,0.085995392807533,-0.121634070341061,3.58600611846036,-0.343897032278694,0.100628891596571,-0.0276746128108287,0.0605146928719084,-0.146281231375272,0.0909320057536144,-0.031038183800215,0.0635130001016646,-0.155521376549566,0.0934450089491364,-0.0308142251944198,2.00831758361085,-0.155291038646268,0.0936625882574284
37,-0.011868709434769,0.125455109318797,0.0629663237865711,0.00204338245822988,0.248866836179364,0.110505343668995,0.0644757070442584,-0.0158647200155064,0.236875407353497,0.110350474549343,2.03894257355625,-0.016024495444831,0.236725444543517,0.0874058778695186,0.0617144878572747,-0.0335522956550743,0.208364051394111,0.0947249234014632,0.0654293311906108,-0.0335142092646771,0.222964056067603,0.0950899102388149,2.06924180395066,-0.0331630255115311,0.223342845989161
