"i","psi_true","tmle_sl","epsilon_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","epsilon_underhal","tmle_lower_underhal","tmle_upper_underhal"
1,0.1153,0.185821299676957,-0.00343057492238068,0.0253446666662424,0.136146665810949,0.235495933542965,0.183402167730794,0.0274028390724433,0.129693590074658,0.237110745386929,0.183926992281405,0.617489807436594,0.129801624235619,0.238052360327191,0.180598539268634,0.000730002516191523,0.132219092291211,0.228977986246056
2,0.1153,0.124180456473354,0.00400805855525904,0.0257059375124558,0.0737977447601035,0.174563168186604,0.124856743534231,0.0268054034280666,0.0723191182241534,0.177394368844308,0.125395570105245,0.599647667059912,0.0728341346183159,0.177957005592174,0.127963925700552,-1.87422021955941e-05,0.0798870532302821,0.176040798170823
3,0.1153,0.135975239943839,0.00440137936229714,0.0251934041076398,0.0865970752449011,0.185353404642776,0.124777291915387,0.0281443628675781,0.0696153543271072,0.179939229503666,0.123795702088249,0.631580300183288,0.0684352478974343,0.179156156279063,0.133123578632943,0.00170934421486706,0.0852585852856795,0.180988571980207
4,0.1153,0.15571313939955,0.0174732726110208,0.0255010720052285,0.10573195670214,0.20569432209696,0.140804719554194,0.0254295795763919,0.0909636594424709,0.190645779665918,0.142983214779447,0.57585085948462,0.0925076614444428,0.193458768114451,0.143593891501347,-0.00019701538476203,0.0969853853328752,0.190202397669818
5,0.1153,0.15477795961445,-0.000233158475427819,0.0252273079043399,0.105333344695041,0.204222574533859,0.159016070613843,0.0265367981288944,0.1070049020162,0.211027239211486,0.159197485636242,0.59399477037973,0.107131548390182,0.211263422882301,0.158331389588849,0.00454583351095988,0.108961685906117,0.20770109327158
6,0.1153,0.100952452831288,-0.00374381785459695,0.0223663620652513,0.0571151887182122,0.144789716944363,0.104493695256966,0.024682254070296,0.0561173662219188,0.152870024292013,0.104146308990579,0.551476675595339,0.0558072470728177,0.152485370908341,0.101941475845971,-0.00224093538248241,0.059260184239633,0.14462276745231
7,0.1153,0.109175987019563,-0.000136639394254946,0.0249195423053193,0.0603345815899149,0.158017392449211,0.105995389783854,0.0260184842588677,0.0550000977041509,0.156990681863557,0.105165516233855,0.584742267943205,0.0539105965846695,0.15642043588304,0.106654244482733,-0.00187000370451232,0.0600703984518717,0.153238090513594
8,0.1153,0.108519574902416,0.0056747067091615,0.0233633143720388,0.0627283201737326,0.154310829631099,0.107429517468589,0.024754548352974,0.0589114942432043,0.155947540693973,0.10836847833546,0.554344615070399,0.0597780304389316,0.156958926231988,0.104699803372236,0.00107532831562172,0.0577828436927372,0.151616763051734
9,0.1153,0.166072296689715,0.00235385581681982,0.0261917505982998,0.114737408824992,0.217407184554438,0.161091081203575,0.0271917313642105,0.107796267052435,0.214385895354716,0.161259087146539,0.608023734879294,0.107963456944102,0.214554717348977,0.166449197604359,0.000869987686913655,0.117630345089096,0.215268050119621
10,0.1153,0.107707738936156,7.03113710421728e-05,0.0222121078193738,0.0641728075894624,0.151242670282849,0.113777771123849,0.0252636602745189,0.0642619068681366,0.163293635379561,0.114837748612964,0.564987655089094,0.0653143971264495,0.164361100099479,0.109192109961792,-0.000244064189412343,0.0661522633611095,0.152231956562474
11,0.1153,0.0783920847204541,-0.0124882212434837,0.0284401725917534,0.0226503707265143,0.134133798714394,0.0750361546241964,0.0272393243365371,0.0216480599613783,0.128424249287014,0.0730726463945398,0.612167863585031,0.0194137672951555,0.126731525493924,0.0771147700103567,0.000173328254825321,0.0269939182616097,0.127235621759104
12,0.1153,0.0801597543158908,-0.0122640667009411,0.0268456429520995,0.0275432609879542,0.132776247643827,0.0921710833858387,0.0297325955166512,0.0338962670063052,0.150445899765372,0.0850374410124622,0.668812898159586,0.0264134057155339,0.143661476309391,0.09046389429922,-0.000827044728225627,0.0438013915867244,0.137126397011716
13,0.1153,0.149993209501841,0.0111499259226738,0.0254195520148791,0.100171803049536,0.199814615954147,0.14016341270325,0.0275267872361812,0.0862119011102384,0.194114924296262,0.142334959163663,0.604654227593374,0.0893346792970315,0.195335239030294,0.150274058870134,-0.000362762550005016,0.0980464835791354,0.202501634161134
14,0.1153,0.145304900609742,0.000952708429060458,0.0233336459750204,0.099571794870694,0.19103800634879,0.143809677433579,0.0249554065786299,0.09489797931991,0.192721375547247,0.144610982376169,0.560405445170472,0.0954892792979707,0.193732685454368,0.142138872221648,0.000751666923099873,0.0976186316514913,0.186659112791806
15,0.1153,0.069834216517757,-0.0118348638197853,0.0248229704361039,0.0211820884736909,0.118486344561823,0.058376486994487,0.0303260894210037,-0.00106155606262144,0.117814530051595,0.0520929218749966,0.714233695502095,-0.0105124218475754,0.114698265597569,0.0751221103464208,-0.00104208670670879,0.0276277488223723,0.122616471870469
16,0.1153,0.106554288682098,-0.00345311444895558,0.0263140103333946,0.0549797761398301,0.158128801224367,0.096795594576238,0.0367226592847955,0.0248205049615034,0.168770684190973,0.0883782256194174,0.94616052565839,0.00544359890185298,0.171312852336982,0.120081643761478,-0.00239987878575015,0.0757577584561351,0.16440552906682
17,0.1153,0.0863839531383885,-0.00759719335381461,0.0245317923746124,0.0383025236079338,0.134465382668843,0.0863982698813842,0.0259718800841219,0.0354943203057122,0.137302219457056,0.0852236141872172,0.58337789169885,0.034088287388779,0.136358940985656,0.0895221306166704,0.000881330120702893,0.0440139509703611,0.13503031026298
18,0.1153,0.110251633865438,0.00234072467814143,0.0240949356391723,0.0630264278028501,0.157476839928027,0.115541559652224,0.0239805000436485,0.0685406432354115,0.162542476069036,0.11572860739437,0.537451674895748,0.0686188909905995,0.16283832379814,0.116806345151822,0.00220903932931549,0.0734927905748649,0.160119899728778
19,0.1153,0.130760213295443,0.013927786070087,0.0237017794942478,0.0843055791172077,0.177214847473679,0.131274806515096,0.0252825701659568,0.0817218795532142,0.180827733476978,0.134275492100588,0.567931640670954,0.0844940889001495,0.184056895301027,0.12946579260408,0.000110534611051464,0.0843276893351722,0.174603895872988
20,0.1153,0.136338520137255,-0.0105694915482781,0.023574890388884,0.0901325840355629,0.182544456238947,0.133722456266902,0.025264749875729,0.08420445643206,0.183240456101743,0.132513774424713,0.56769550868401,0.0827530691055128,0.182274479743912,0.137505861575195,-0.00328820395161859,0.0917970931160896,0.183214630034299
