"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","tmle_lower_underhal","tmle_upper_underhal"
1,0.1153,0.120778782585978,0.0413474161469365,0.0397393360841927,0.201818229087763,0.105216348213684,0.0485611525648254,0.0100382381388715,0.200394458288497,0.14282861751353,0.974997963186553,0.0573662779480579,0.228290957079001,0.138618715440974,0.0615815320309365,0.215655898851011
2,0.1153,0.138014786787189,0.0415866818842327,0.0565063880575684,0.219523185516809,0.116381290709346,0.043935600991434,0.0302690951270127,0.202493486291679,0.127858108896721,0.84593422646801,0.0537087046495747,0.202007513143867,0.137802472565338,0.0593064230562203,0.216298522074456
3,0.1153,0.13422938459408,0.0366727239055915,0.0623521665241392,0.20610660266402,0.127978194192173,0.0376275804449735,0.0542294916946415,0.201726896689705,0.132719691005698,0.718548326819098,0.0697361531733573,0.195703228838038,0.152229424763964,0.0761253216498026,0.228333527878126
4,0.1153,0.0900624001305687,0.0525599194232829,-0.0129531489693929,0.19307794923053,0.0468350506930441,0.0766158205404076,-0.103329198212139,0.196999299598227,0.101853586370884,0.987182273501633,0.0153232449173722,0.188383927824395,0.128125025631352,0.0545871739235439,0.201662877339161
5,0.1153,0.117663191161777,0.0366998024336968,0.0457329001519959,0.189593482171558,0.114889667803507,0.0393229202491617,0.0378181603482095,0.191961175258805,0.126540742933056,0.737056268744874,0.0619349124629448,0.191146573403167,0.128175692483575,0.0559150287804131,0.200436356186736
6,0.1153,0.104412841260131,0.0384754546720086,0.0290023358141912,0.179823346706072,0.0612858149093483,0.061210310672887,-0.0586841894920178,0.181255819310714,0.0868666236399869,0.926181828434362,0.00568320694613907,0.168050040333835,0.11163740733568,0.0379035848678631,0.185371229803498
7,0.1153,0.127039700398397,0.0413573729616184,0.0459807388984345,0.20809866189836,0.0876111293494362,0.0512342016380144,-0.0128060606377351,0.188028319336607,0.11274610590435,0.89503239654805,0.0342930572991076,0.191199154509593,0.133256386932436,0.057544246691128,0.208968527173744
8,0.1153,0.143885651802885,0.0345514584347935,0.0761660376573568,0.211605265948413,0.124260660652564,0.0369828768703482,0.051775553942002,0.196745767363126,0.137452195150591,0.696577953407126,0.0763944454571075,0.198509944844075,0.149634641740607,0.0831427728994954,0.216126510581719
9,0.1153,0.104270122944343,0.0371520851444692,0.0314533741106175,0.177086871778068,0.0839385209331232,0.0401723592016142,0.00520214372395308,0.162674898142293,0.0901712366064253,0.806776836399368,0.0194541289310657,0.160888344281785,0.1133349930797,0.0436244437349802,0.183045542424421
10,0.1153,0.115378692228274,0.0335048236612068,0.0497104445439434,0.181046939912605,0.0856618826948513,0.0410692410720323,0.00516764932127488,0.166156116068428,0.102393857380415,0.712614231521531,0.0399304659345111,0.164857248826319,0.120646279695699,0.0547722994564788,0.18652025993492
